ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish
1,0.1559045761823654,0.0135963484644889,0.17857500910758972,0.28185373544692993,0.0847577154636383,0.21263380348682404,0.2332618683576584,H1975,2,control,0,1
2,0.219840794801712,0.004372495226562,0.25264158844947815,0.34277474880218506,0.16828086972236633,0.2923150062561035,0.31590452790260315,H1975,2,control,0,1
3,0.0861231759190559,0.0106312884017825,0,0,0,0,0,H1975,2,control,0,1
4,0.0740888267755508,0.0114113921299576,0.1726638674736023,0.42268478870391846,0.009379941038787365,0.24481981992721558,0.289863258600235,H1975,2,control,0,1
5,0.0816950723528862,0.0062005324289202,0.08710762113332748,0.22084198892116547,0.00038596882950514555,0.12751895189285278,0.15394262969493866,H1975,2,control,0,1
6,0.1823590993881225,0.0042847860604524,0.1729232221841812,0.2588956356048584,0.10779144614934921,0.1935489922761917,0.20894107222557068,H1975,2,control,0,1
1,0.1660876423120498,0.0138986790552735,0.3075055778026581,0.4210471212863922,0.21953390538692474,0.34861353039741516,0.373341828584671,H1975,2,control,1,1
2,0.122309111058712,0.0065071680583059,0,0,0,0,0,H1975,2,control,1,1
3,0.1211564838886261,0.0036865083966404,0.15768291056156158,0.26781758666038513,0.07235583662986755,0.19041591882705688,0.21466942131519318,H1975,2,control,1,1
1,0.0743256136775016,0.0014805048704147,0.09640433639287949,0.13758376240730286,0.06617286801338196,0.10748349130153656,0.11481735110282898,H1975,2,control,10,1
2,0.0700435191392898,0.0027327409479767,0,0,0,0,0,H1975,2,control,10,1
1,0.0784545317292213,0.0015875278040766,0.06657826900482178,0.13407374918460846,0.003725437680259347,0.0888628363609314,0.10132034122943878,H1975,2,control,11,1
2,0.1962660104036331,0.0033990230876952,0.23450201749801636,0.3135598301887512,0.12470313906669617,0.2640887498855591,0.2792009711265564,H1975,2,control,11,1
3,0.0889614969491958,0.0186877623200416,0.24548299610614777,0.3692514896392822,0.0730486512184143,0.2885172367095947,0.3208560645580292,H1975,2,control,11,1
1,0.1484011560678482,0.0016452367417514,0.14055952429771423,0.2792189121246338,0.04147891327738762,0.17530786991119385,0.20037387311458588,H1975,2,control,12,1
1,0.0928096324205398,0.0003586703678593,0.10394849628210068,0.1478441059589386,0.049536433070898056,0.11758383363485336,0.1265229731798172,H1975,2,control,13,1
2,0.1273752748966217,0.0013084503589197,0.17767606675624847,0.23197321593761444,0.13553835451602936,0.19239623844623566,0.20200403034687042,H1975,2,control,13,1
3,0.0915817767381668,0.0008290831465274,0.09392775595188141,0.1213298887014389,0.0791836604475975,0.10210023820400238,0.10675342381000519,H1975,2,control,13,1
1,0.3931580483913421,0.0258680675178766,0.36151203513145447,0.5076072812080383,0.23913642764091492,0.4055022895336151,0.43884551525115967,H1975,2,control,14,1
1,0.2121075093746185,0.0531992800533771,0.17870263755321503,0.22162678837776184,0.1359473466873169,0.19358743727207184,0.20463864505290985,H1975,2,control,16,1
2,0.2639096081256866,0.010673931799829,0.15030862390995026,0.2129235565662384,0.0873270183801651,0.16766521334648132,0.18060652911663055,H1975,2,control,16,1
1,0.0778398141264915,0.00199861289002,0.059188660234212875,0.09566967934370041,6.962229963392019e-05,0.07626923173666,0.08425719290971756,H1975,2,control,17,1
2,0.0588668212294578,0.0016892172861844,0.06573525816202164,0.1613416224718094,0.014058205299079418,0.08965330570936203,0.11192373186349869,H1975,2,control,17,1
3,0.0728360339999198,0.0012669883435592,0.05818501487374306,0.08969467878341675,0.02268386445939541,0.0711740255355835,0.07877855002880096,H1975,2,control,17,1
4,0.0902899727225303,0.0031766067259013,0.08234589546918869,0.11951875686645508,0.04696333408355713,0.09504349529743195,0.10388530790805817,H1975,2,control,17,1
5,0.0009720004163682,0.0001282912853639,0.081023670732975,0.22811803221702576,0.01669437438249588,0.13333545625209808,0.19178785383701324,H1975,2,control,17,1
6,0.1068864837288856,0.0032228496856987,0.08816513419151306,0.1905660331249237,0.006242187228053808,0.11521722376346588,0.13252714276313782,H1975,2,control,17,1
7,0.0210040882229805,0.0010116298217326,0.02336856722831726,0.06312829256057739,2.9407085094135255e-05,0.03833697363734245,0.04772106185555458,H1975,2,control,17,1
1,0.0725032091140747,0.0008997137774713,0.0748646929860115,0.10290287435054779,0.04565193131566048,0.08732836693525314,0.09392859041690826,H1975,2,control,18,1
1,0.1761877983808517,0.0025963834486901,0.17639482021331787,0.2707277536392212,0.09757548570632935,0.2087593823671341,0.23142819106578827,H1975,2,control,19,1
2,0.0887214615941047,0.0058714351616799,0.10779453068971634,0.165652796626091,0.05185863748192787,0.12529082596302032,0.1380162388086319,H1975,2,control,19,1
3,0.1966411024332046,0.0104417614638805,0.23261642456054688,0.3013414442539215,0.17724865674972534,0.2590790390968323,0.27541404962539673,H1975,2,control,19,1
1,0.0371796265244483,0.0082854209467768,0.20246461033821106,0.3764311671257019,0.0006419463898055255,0.26931294798851013,0.30427902936935425,H1975,2,control,2,1
2,0.3406105041503906,0.0595088452100753,0.4896257817745209,0.6273441314697266,0.37892189621925354,0.5241832137107849,0.5483722686767578,H1975,2,control,2,1
3,0.1131096556782722,0.0043509998358786,0,0,0,0,0,H1975,2,control,2,1
1,0.127317801117897,0.0042581134475767,0.12010713666677475,0.18439728021621704,0.06614438444375992,0.139265775680542,0.15031373500823975,H1975,2,control,20,1
2,0.0419368632137775,0.0057812053710222,0.07667194306850433,0.22249087691307068,0.0062283542938530445,0.11694470793008804,0.14543460309505463,H1975,2,control,20,1
1,0.1915488690137863,0.0009607677347958,0.18968287110328674,0.25748780369758606,0.11570873111486435,0.21260112524032593,0.22490961849689484,H1975,2,control,21,1
1,0.19474957883358,0.0044528748840093,0.2619527578353882,0.38641032576560974,0.18816730380058289,0.3021320700645447,0.34257635474205017,H1975,2,control,3,1
2,0.1436926275491714,0.0014969035983085,0.13670296967029572,0.2360658049583435,0.06551957130432129,0.15822109580039978,0.16955964267253876,H1975,2,control,3,1
1,0.1012106612324714,0.0024524447508156,0.08685875684022903,0.13603131473064423,0.02914484776556492,0.10411258041858673,0.11371592432260513,H1975,2,control,4,1
2,0.1552752554416656,0.0133890695869922,0.11380398273468018,0.2270088493824005,0.0011757418978959322,0.16301032900810242,0.1922297179698944,H1975,2,control,4,1
3,0.1301356852054596,0.0069500152021646,0.11784396320581436,0.2557379901409149,0.007282603532075882,0.15936191380023956,0.18729020655155182,H1975,2,control,4,1
1,0.2155098766088485,0.0015138746239244,0.22068041563034058,0.3149169087409973,0.10930971801280975,0.24617333710193634,0.2604896128177643,H1975,2,control,5,1
2,0.2037399113178253,0.0114438598975539,0.17446713149547577,0.3437335193157196,0.031749505549669266,0.2220197170972824,0.24907435476779938,H1975,2,control,5,1
1,0.0997190698981285,0.0006082297768443,0.09963567554950714,0.1899770349264145,0.05715681612491608,0.11819134652614594,0.13412578403949738,H1975,2,control,6,1
1,0.1084327399730682,0.0033787190914154,0.1364346444606781,0.23227445781230927,0.07293704897165298,0.16743046045303345,0.18876342475414276,H1975,2,control,7,1
2,0.1909881234169006,0.0083498591557145,0.184735968708992,0.3349333107471466,0.09559623152017593,0.2232699692249298,0.2508714497089386,H1975,2,control,7,1
1,0.1023548617959022,0.0170862209051847,0.26730877161026,0.3477039933204651,0.2017568200826645,0.29830512404441833,0.32028961181640625,H1975,2,control,8,1
2,0.1073578894138336,0.0122390240430831,0.2007298320531845,0.40308713912963867,0.03525655344128609,0.2546376883983612,0.2886826694011688,H1975,2,control,8,1
3,0.2437077462673187,0.0579757802188396,0,0,0,0,0,H1975,2,control,8,1
4,0.0442086420953273,0.000980916316621,0.04134827479720116,0.05967617779970169,0.01189909502863884,0.05055728554725647,0.05455470457673073,H1975,2,control,8,1
5,0.0020935463253408,0.000341247068718,0.1556321233510971,0.2644011080265045,0.025568688288331032,0.21357618272304535,0.23388594388961792,H1975,2,control,8,1
6,0.2332257628440857,0.0024641065392643,0.23744843900203705,0.27430662512779236,0.20301231741905212,0.25967684388160706,0.2679383456707001,H1975,2,control,8,1
1,0.2095619738101959,0.039733987301588,0.29529133439064026,0.44163477420806885,0.10144951939582825,0.3524935245513916,0.3843578100204468,H1975,2,control,9,1
1,0.2330952435731887,0.0050956970080733,0.14169420301914215,0.16404834389686584,0.12025388330221176,0.14831680059432983,0.15281929075717926,H1975,2,control,0,2
1,0.4224458038806915,0.0210878327488899,0.42404094338417053,0.48444148898124695,0.32825931906700134,0.4512518346309662,0.46520477533340454,H1975,2,control,1,2
1,0.1788166165351867,0.0011467649601399,0,0,0,0,0,H1975,2,control,10,2
2,0.3362770080566406,0.0121913468465209,0.3469157814979553,0.4111675024032593,0.2809227406978607,0.3806241452693939,0.39723631739616394,H1975,2,control,10,2
1,0.0378121249377727,0.0036569978110492,0.06137501820921898,0.14966660737991333,0.010218532755970955,0.09208395332098007,0.11399485915899277,H1975,2,control,11,2
2,0.2380454838275909,0.0059751812368631,0.21129265427589417,0.29751917719841003,0.05343254283070564,0.2506924569606781,0.26977697014808655,H1975,2,control,11,2
3,0.2826917469501495,0.0015565725043416,0.2864646017551422,0.4088577926158905,0.09394824504852295,0.3249117136001587,0.34860342741012573,H1975,2,control,11,2
1,0.1956624388694763,0.0088870171457529,0.21344320476055145,0.2757655680179596,0.15463435649871826,0.2359609752893448,0.24942803382873535,H1975,2,control,12,2
2,0.2619754076004028,0.0030854316428303,0.27781566977500916,0.33495181798934937,0.19255661964416504,0.30079859495162964,0.3130890727043152,H1975,2,control,12,2
1,0.0763935819268226,0.0035401212517172,0.1245589479804039,0.2593793272972107,0.005861222743988037,0.16609272360801697,0.2021266371011734,H1975,2,control,13,2
2,0.3373091220855713,0.0053138257935643,0.28612151741981506,0.46211597323417664,0.12683258950710297,0.348443865776062,0.3935544192790985,H1975,2,control,13,2
1,0.1852931529283523,0.0126709239557385,0.19770653545856476,0.3392470180988312,0.02460169419646263,0.24536626040935516,0.2688634693622589,H1975,2,control,14,2
2,0.2396536022424698,0.0044897147454321,0.2617270350456238,0.31780537962913513,0.19553783535957336,0.2798585593700409,0.2900986969470978,H1975,2,control,14,2
3,0.0377314537763595,0.0057580443099141,0.14215874671936035,0.3488525450229645,0.0019835922867059708,0.20428970456123352,0.24048154056072235,H1975,2,control,14,2
4,0.0135599179193377,0.0022494313307106,0.12678390741348267,0.2708057165145874,0.0032984972931444645,0.17458611726760864,0.20335112512111664,H1975,2,control,14,2
5,0.0053824218921363,0.0007107786950655,0,0,0,0,0,H1975,2,control,14,2
1,0.1479522585868835,0.0096921352669596,0.165973961353302,0.3378365635871887,0.01719023659825325,0.20605793595314026,0.23051424324512482,H1975,2,control,2,2
2,0.1866601854562759,0.0236731749027967,0.24918939173221588,0.4141733646392822,0.07909973710775375,0.3129335939884186,0.34008315205574036,H1975,2,control,2,2
3,0.1010493263602256,0.0028915535658597,0.10508599877357483,0.13705913722515106,0.07293646037578583,0.12011325359344482,0.12901906669139862,H1975,2,control,2,2
1,0.0753857046365737,0.0014414940960705,0,0,0,0,0,H1975,2,control,3,2
2,0.1858974993228912,0.0038471089210361,0.24310298264026642,0.3600675165653229,0.14042626321315765,0.2864519953727722,0.31154173612594604,H1975,2,control,3,2
3,0.184399202466011,0.0020865094847977,0.27352744340896606,0.30985790491104126,0.21428944170475006,0.29260551929473877,0.30084872245788574,H1975,2,control,3,2
4,0.2317234724760055,0.0061020641587674,0.19150905311107635,0.2754354774951935,0.03703863173723221,0.22754314541816711,0.24913010001182556,H1975,2,control,3,2
1,0.2649216055870056,0.0146551337093114,0.3359110653400421,0.4152470529079437,0.2951623201370239,0.35526713728904724,0.37604495882987976,H1975,2,control,4,2
2,0.1869060695171356,0.0155029296875,0.2592255175113678,0.3306596279144287,0.19006136059761047,0.29222214221954346,0.3053096830844879,H1975,2,control,4,2
3,0.2075139135122299,0.0283592380583286,0.33090129494667053,0.46412551403045654,0.20932172238826752,0.3727153539657593,0.40277963876724243,H1975,2,control,4,2
1,0.0562535002827644,0.0019434010609984,0.1273908168077469,0.2037832885980606,0.04580830782651901,0.15275925397872925,0.16533195972442627,H1975,2,control,5,2
2,0.0674604102969169,0.0014126340392977,0.09221570938825607,0.2208995372056961,0.0040264250710606575,0.1319369375705719,0.1584804207086563,H1975,2,control,5,2
3,0.407071441411972,0.0060675353743135,0.3851170539855957,0.4662076532840729,0.3119661509990692,0.4083181619644165,0.4219364523887634,H1975,2,control,5,2
4,0.1385739296674728,0.0203740540891885,0.17709068953990936,0.2653108239173889,0.09100104868412018,0.22123296558856964,0.24340569972991943,H1975,2,control,5,2
5,0.1401692628860473,0.0219270661473274,0,0,0,0,0,H1975,2,control,5,2
1,0.2617533206939697,0.0037127798423171,0.2746879756450653,0.3356494605541229,0.1878705471754074,0.2989155650138855,0.3146885931491852,H1975,2,control,6,2
2,0.2858026325702667,0.0195704344660043,0.24470369517803192,0.34069374203681946,0.1427794247865677,0.28119856119155884,0.30004048347473145,H1975,2,control,6,2
1,0.1356448680162429,0.0102662844583392,0.12084884941577911,0.178165465593338,0.06860758364200592,0.1458805799484253,0.15789338946342468,H1975,2,control,7,2
2,0.2822405695915222,0.0254681762307882,0.2633562982082367,0.4069403409957886,0.1625141203403473,0.3121320307254791,0.3484196364879608,H1975,2,control,7,2
1,0.1087316870689392,0.0033151779789477,0.0826946571469307,0.15819518268108368,0.00164388632401824,0.11400660872459412,0.13417495787143707,H1975,2,control,8,2
1,0.3622937202453613,0.0530251897871494,0.35475677251815796,0.3870573043823242,0.30499690771102905,0.3766573369503021,0.3822423219680786,H1975,2,control,9,2
2,0.1110180541872978,0.0441316328942775,0,0,0,0,0,H1975,2,control,9,2
3,0.1383745670318603,0.0242117270827293,0.306745320558548,0.44095098972320557,0.15343838930130005,0.35375475883483887,0.3798861503601074,H1975,2,control,9,2
4,0.1347831189632415,0.0032634572125971,0.11794467270374298,0.27090728282928467,0.01897907257080078,0.15405960381031036,0.17510159313678741,H1975,2,control,9,2
1,0.0324001535773277,0.0036960742436349,0.057199448347091675,0.12877723574638367,0.0033294481690973043,0.08056330680847168,0.09571375697851181,H1975,2,gefitinib,0,1
2,0.1899690777063369,0.0081541808322072,0.12453458458185196,0.2402455359697342,0.057127874344587326,0.16363906860351562,0.20000708103179932,H1975,2,gefitinib,0,1
1,0.0977410748600959,0.002129927277565,0.18290726840496063,0.2712201178073883,0.0956595242023468,0.22533363103866577,0.24677471816539764,H1975,2,gefitinib,1,1
2,0.1233401596546173,0.0008521492709405,0.1518719345331192,0.23960593342781067,0.08119887113571167,0.1784086376428604,0.195390522480011,H1975,2,gefitinib,1,1
3,0.1108235269784927,0.0008334197918884,0.0983794555068016,0.16825374960899353,0.044535666704177856,0.12053606659173965,0.13197436928749084,H1975,2,gefitinib,1,1
1,0.1862263232469558,0.0096477679908275,0.305087685585022,0.41133952140808105,0.16665226221084595,0.3435222804546356,0.35574665665626526,H1975,2,gefitinib,10,1
2,0.1146657541394233,0.0047677159309387,0.11738987267017365,0.2592618763446808,0.0031352010555565357,0.15765897929668427,0.18199437856674194,H1975,2,gefitinib,10,1
3,0.1343580931425094,0.0061892494559288,0.1014653891324997,0.2683809995651245,0.006470294203609228,0.14044809341430664,0.16909779608249664,H1975,2,gefitinib,10,1
4,0.0930347219109535,0.0028880436439067,0.1062239482998848,0.1831662952899933,0.01035492867231369,0.13662180304527283,0.14845989644527435,H1975,2,gefitinib,10,1
5,0.158669576048851,0.0049421959556639,0.14410404860973358,0.2390509992837906,0.053784020245075226,0.16925086081027985,0.18747955560684204,H1975,2,gefitinib,10,1
6,0.109122909605503,0.0029448275454342,0.20812416076660156,0.31012898683547974,0.11143729835748672,0.24852313101291656,0.26865431666374207,H1975,2,gefitinib,10,1
1,0.0071020615287125,0.0009563770145177,0,0,0,0,0,H1975,2,gefitinib,11,1
2,0.1636023670434951,0.0027205904480069,0.184309184551239,0.3236417770385742,0.07492642104625702,0.22279274463653564,0.2517409026622772,H1975,2,gefitinib,11,1
1,0.0634407922625541,0.0009919418953359,0.12181532382965088,0.24327106773853302,0.026461442932486534,0.15345832705497742,0.17433898150920868,H1975,2,gefitinib,12,1
2,0.0784799009561538,0.0048244073987007,0.06558017432689667,0.18019132316112518,0.0007082059164531529,0.0973789393901825,0.11510363221168518,H1975,2,gefitinib,12,1
1,0.1030356585979461,0.0066799167543649,0,0,0,0,0,H1975,2,gefitinib,13,1
2,0.1165673062205314,0.0018456066027283,0.11991391330957413,0.19774235785007477,0.01208331249654293,0.14637894928455353,0.16029328107833862,H1975,2,gefitinib,13,1
1,0.1118593513965606,0.007759244646877,0.10492236167192459,0.29253795742988586,0.001026963465847075,0.1448381394147873,0.17055778205394745,H1975,2,gefitinib,14,1
2,0.0986242741346359,0.002558363834396,0.22460854053497314,0.3190593123435974,0.1287088841199875,0.25905129313468933,0.27566778659820557,H1975,2,gefitinib,14,1
3,0.1273878812789917,0.0042214565910398,0.10230621695518494,0.1958089917898178,0.03700480982661247,0.1274426132440567,0.14423570036888123,H1975,2,gefitinib,14,1
1,0.1440445631742477,0.0104474052786827,0.1326403170824051,0.2783430814743042,0.011209008283913136,0.17525695264339447,0.20335790514945984,H1975,2,gefitinib,15,1
2,0.0238018278032541,0.0033335250336676,0.08843231201171875,0.2908574938774109,0.0021516333799809217,0.13455668091773987,0.1644163429737091,H1975,2,gefitinib,15,1
3,0.1321992874145507,0.0023811166174709,0.14421820640563965,0.29682716727256775,0.07435984164476395,0.17255878448486328,0.19991420209407806,H1975,2,gefitinib,15,1
1,0.0027704008389264,0.0006197391776368,0,0,0,0,0,H1975,2,gefitinib,16,1
2,0.1842255741357803,0.0076289474964141,0.2565542757511139,0.385448157787323,0.12271203100681305,0.3046018183231354,0.33430173993110657,H1975,2,gefitinib,16,1
